cpu power (w),gpu power (w),energy use (kwh/year),grid carbon intensity (kg co2/kwh),operational emissions (kg co2),manufacturing emissions (kg co2),disposal emissions (kg co2),operational emissions,predicted_emissions (kg co2)
8.57,4.95,2601.33,0.72,0.214,100,20,1872.9576,1994.5475
9.95,4.94,2865.215,0.72,0.235,100,20,2062.9548,2182.6545
11.81,5.09,3252.367,0.72,0.267,100,20,2341.70424,2459.8464
8.719999999999999,4.88,2617.582,0.72,0.215,100,20,1884.65904,2004.3993
8.99,4.73,2640.94,0.72,0.217,100,20,1901.4768,2023.801
10.01,5.11,2910.717,0.72,0.239,100,20,2095.71624,2215.4006
7.49,4.83,2371.934,0.72,0.195,100,20,1707.79248,1831.8854
9.32,5.15,2786.149,0.72,0.229,100,20,2006.02728,2128.6074
7.91,4.74,2435.957,0.72,0.2,100,20,1753.8890399999998,1873.9613
8.84,4.7,2607.662,0.72,0.214,100,20,1877.51664,1997.7594
7.43,5.05,2403.752,0.72,0.198,100,20,1730.7014399999998,1849.4908
7.19,4.73,2296.122,0.72,0.189,100,20,1653.2078399999998,1775.0511
8.6,5.22,2662.414,0.72,0.219,100,20,1916.93808,2035.2827
7.25,5.14,2387.179,0.72,0.196,100,20,1718.76888,1834.2653
8.09,5.04,2530.09,0.72,0.208,100,20,1821.6648,1941.4529
9.05,4.9,2688.419,0.72,0.221,100,20,1935.66168,2094.8164
8.48,4.98,2594.246,0.72,0.213,100,20,1867.85712,1987.8192
7.1,5.16,2363.226,0.72,0.194,100,20,1701.52272,1820.5159
10.22,4.56,2849.313,0.72,0.234,100,20,2051.50536,2171.9504
6.859999999999999,5.02,2290.472,0.72,0.188,100,20,1649.13984,1763.6088
8.84,4.7,2610.782,0.5,0.149,100,20,1305.391,1423.1661
8.51,5.37,2676.798,0.72,0.22,100,20,1927.29456,2047.2625
9.44,5.15,2814.003,0.72,0.231,100,20,2026.08216,2145.8286
7.82,4.88,2449.73,0.72,0.201,100,20,1763.8056,1874.2417
7.91,5.19,2527.161,0.72,0.208,100,20,1819.55592,1940.1083
7.550000000000001,5.01,2423.229,0.72,0.199,100,20,1744.7248799999998,1864.894
7.4,5.05,2402.274,0.72,0.197,100,20,1729.63728,1849.4908
6.83,5.19,2319.541,0.72,0.191,100,20,1670.06952,1790.1503
10.85,4.69,2999.107,0.72,0.247,100,20,2159.35704,2278.1953
11.03,4.92,3078.544,0.72,0.253,100,20,2216.55168,2336.969
9.26,5.15,2781.642,0.72,0.229,100,20,2002.78224,2128.6074
7.82,4.92,2459.673,0.72,0.202,100,20,1770.9645599999997,1887.315
6.68,5.28,2309.31,0.72,0.19,100,20,1662.7032,1777.8463
7.970000000000001,5.21,2545.157,0.72,0.209,100,20,1832.51304,1952.2526
7.939999999999999,4.96,2491.329,0.72,0.205,100,20,1793.75688,1914.104
7.459999999999999,5.03,2412.417,0.72,0.198,100,20,1736.94024,1859.1338
7.609999999999999,5.1,2455.217,0.72,0.202,100,20,1767.75624,1887.4092
6.859999999999999,5.01,2293.173,0.72,0.188,100,20,1651.0845599999998,1778.2753
10.97,4.88,3062.376,0.72,0.252,100,20,2204.91072,2327.3892
8.719999999999999,4.85,2622.099,0.72,0.216,100,20,1887.91128,2005.7266
8.719999999999999,5.19,2688.115,0.72,0.221,100,20,1935.4428,2051.4705
8.0,4.93,2499.005,0.72,0.205,100,20,1799.2836,1917.4763
7.43,5.37,2474.337,0.72,0.203,100,20,1781.52264,1905.2599
9.02,5.18,2745.239,0.72,0.226,100,20,1976.57208,2098.6062
6.17,4.61,2084.285,0.72,0.171,100,20,1500.6852,1751.9235
7.1,5.19,2376.473,0.72,0.195,100,20,1711.06056,1831.4935
7.459999999999999,4.65,2341.926,0.72,0.192,100,20,1686.18672,1804.7516
8.93,4.78,2651.673,0.72,0.218,100,20,1909.20456,2028.3408
8.719999999999999,5.05,2663.541,0.72,0.219,100,20,1917.74952,2040.786
