cpu power (w),gpu power (w),battery percentage,power plugged,system uptime (hours),energy use (kwh/year),grid carbon intensity (kg co2/kwh),operational emissions (kg co2),manufacturing emissions (kg co2),disposal emissions (kg co2)
8.6,16.05,100,True,0.69,148.755,0.508,0.009,100,20
9.29,15.92,100,True,0.69,152.317,0.508,0.009,100,20
11.03,15.45,100,True,0.69,160.178,0.508,0.009,100,20
11.81,15.39,100,True,0.69,164.727,0.508,0.01,100,20
11.63,15.3,100,True,0.69,163.283,0.508,0.009,100,20
11.27,15.25,100,True,0.69,160.987,0.508,0.009,100,20
9.05,15.22,100,True,0.69,147.499,0.508,0.009,100,20
10.43,15.13,100,True,0.69,155.519,0.508,0.009,100,20
9.11,15.0,100,True,0.7,146.871,0.508,0.009,100,20
9.11,15.01,100,True,0.7,147.102,0.508,0.009,100,20
